"","id","trial","cond_lag","count_lag","graph_order","pooled_order","hr","rating"
"298",3,151,"CS",3,2,2,-2.32733333333333,92
"299",3,152,"CS-US",1,5,1,3.36325,81
"300",3,153,"CS-US",2,6,2,3.99420833333334,7
"301",3,154,"CS",1,4,4,8.13095833333333,77
"302",3,155,"CS",2,3,3,-14.6516666666667,89
"303",3,156,"CS-US",1,5,1,-5.36941666666667,100
"304",4,2,"CS",1,4,4,-12.5202916666667,84
"305",4,3,"CS",2,3,3,-5.60958333333334,94
"306",4,4,"CS",3,2,2,-1.85479166666667,100
"307",4,5,"CS",4,1,1,-6.15375,91
"308",4,6,"CS-US",1,5,1,-3.08245833333334,24
"309",4,7,"CS",1,4,4,-6.73183333333333,83
"310",4,8,"CS",2,3,3,-11.735375,89
"311",4,9,"CS",3,2,2,-8.31058333333334,62
"312",4,10,"CS",4,1,1,-12.8394583333333,88
"313",4,11,"CS-US",1,5,1,-6.85337500000001,15
"314",4,12,"CS",1,4,4,-2.400375,41
"315",4,13,"CS",2,3,3,8.532625,75
"316",4,14,"CS",3,2,2,-8.33995833333334,89
"317",4,15,"CS-US",1,5,1,-2.28741666666668,17
"318",4,16,"CS-US",2,6,2,-4.55920833333334,77
"319",4,17,"CS",1,4,4,-3.93620833333333,15
"320",4,18,"CS-US",1,5,1,-1.17775000000001,69
"321",4,19,"CS",1,4,4,6.21095833333333,82
"322",4,20,"CS",2,3,3,1.317125,83
"323",4,21,"CS-US",1,5,1,-5.12291666666667,12
"324",4,22,"CS",1,4,4,-2.21133333333333,80
"325",4,23,"CS",2,3,3,-2.75758333333334,94
"326",4,24,"CS",3,2,2,4.69808333333333,96
"327",4,25,"CS-US",1,5,1,-9.38683333333334,16
"328",4,26,"CS-US",2,6,2,-6.533,1
"329",4,27,"CS",1,4,4,0.668708333333328,83
"330",4,28,"CS",2,3,3,19.5042083333333,32
"331",4,29,"CS-US",1,5,1,-2.546,82
"332",4,30,"CS-US",2,6,2,3.81658333333334,89
"333",4,31,"CS",1,4,4,7.46791666666667,21
"334",4,32,"CS-US",1,5,1,-5.25808333333333,77
"335",4,33,"CS",1,4,4,1.34283333333334,27
"336",4,34,"CS-US",1,5,1,4.34304166666668,39
"337",4,35,"CS",1,4,4,4.38229166666666,29
"338",4,36,"CS-US",1,5,1,2.93691666666666,73
"339",4,37,"CS-US",2,6,2,-2.56166666666666,25
"340",4,38,"CS",1,4,4,-3.31454166666667,60
"341",4,39,"CS",2,3,3,-0.457541666666677,79
"342",4,40,"CS-US",1,5,1,-5.42320833333334,39
"343",4,41,"CS",1,4,4,-6.97058333333333,37
"344",4,42,"CS-US",1,5,1,-0.023041666666666,46
"345",4,43,"CS",1,4,4,3.28341666666666,73
"346",4,44,"CS-US",1,5,1,2.36708333333333,39
"347",4,45,"CS-US",2,6,2,-0.880500000000005,67
"348",4,46,"CS",1,4,4,4.02449999999999,32
"349",4,47,"CS-US",1,5,1,-4.22766666666666,76
"350",4,48,"CS-US",2,6,2,1.22125,15
"351",4,49,"CS",1,4,4,5.91004166666667,73
"352",4,50,"CS-US",1,5,1,8.74499999999999,33
"353",4,51,"CS",1,4,4,0.540208333333339,37
"354",4,52,"CS",2,3,3,-4.41470833333334,76
"355",4,53,"CS-US",1,5,1,1.75904166666667,38
"356",4,54,"CS",1,4,4,5.7205,67
"357",4,55,"CS-US",1,5,1,4.93266666666667,36
"358",4,56,"CS",1,4,4,-2.53708333333333,40
"359",4,57,"CS-US",1,5,1,6.02329166666667,14
"360",4,58,"CS",1,4,4,7.23029166666667,39
"361",4,59,"CS",2,3,3,-1.41904166666666,32
"362",4,60,"CS",3,2,2,-1.60595833333333,79
"363",4,61,"CS",4,1,1,5.73970833333333,35
"364",4,62,"CS-US",1,5,1,2.2405,90
"365",4,63,"CS-US",2,6,2,-8.41133333333333,19
"366",4,64,"CS",1,4,4,3.11679166666666,78
"367",4,65,"CS-US",1,5,1,4.04654166666667,68
"368",4,66,"CS-US",2,6,2,4.29466666666667,14
"369",4,67,"CS-US",3,7,3,3.38950000000001,7
"370",4,68,"CS",1,4,4,-2.79237500000001,60
"371",4,69,"CS-US",1,5,1,-3.43216666666667,42
"372",4,70,"CS-US",2,6,2,9.28666666666666,80
"373",4,71,"CS-US",3,7,3,-1.665875,34
"374",4,72,"CS-US",4,8,4,-3.74516666666667,23
"375",4,73,"CS",1,4,4,5.21095833333333,36
"376",4,74,"CS",2,3,3,-1.846625,68
"377",4,75,"CS-US",1,5,1,4.182625,71
"378",4,76,"CS",1,4,4,-3.88379166666667,33
"379",4,77,"CS-US",1,5,1,0.456958333333336,17
"380",4,78,"CS",1,4,4,-1.9695,69
"381",4,79,"CS",2,3,3,-2.96145833333333,62
"382",4,80,"CS",3,2,2,-0.0950416666666687,34
"383",4,81,"CS-US",1,5,1,-1.07266666666666,38
"384",4,82,"CS-US",2,6,2,1.17716666666666,16
"385",4,83,"CS-US",3,7,3,6.54183333333333,67
"386",4,84,"CS-US",4,8,4,0.0324999999999971,67
"387",4,85,"CS",1,4,4,-2.89095833333334,86
"388",4,86,"CS",2,3,3,1.69945833333333,21
"389",4,87,"CS",3,2,2,11.2754583333333,74
"390",4,88,"CS-US",1,5,1,-5.59420833333333,14
"391",4,89,"CS-US",2,6,2,1.99633333333334,33
"392",4,90,"CS-US",3,7,3,0.682333333333332,83
"393",4,92,"CS-US",1,5,1,-2.684,31
"394",4,93,"CS",1,4,4,-1.324625,75
"395",4,94,"CS",2,3,3,5.95904166666667,12
"396",4,95,"CS",3,2,2,-23.3307916666667,60
"397",4,96,"CS-US",1,5,1,7.03616666666666,26
"398",4,97,"CS-US",2,6,2,-1.49325000000001,8
"399",4,98,"CS",1,4,4,9.93695833333333,78
"400",4,99,"CS",2,3,3,-1.83049999999999,32
"401",4,100,"CS-US",1,5,1,-9.11266666666667,31
"402",4,101,"CS-US",2,6,2,3.88979166666667,14
"403",4,102,"CS",1,4,4,14.7395416666667,57
"404",4,103,"CS-US",1,5,1,2.10312500000001,7
"405",4,104,"CS",1,4,4,4.61766666666667,30
"406",4,105,"CS",2,3,3,2.20258333333333,82
"407",4,106,"CS-US",1,5,1,6.72166666666666,90
"408",4,107,"CS-US",2,6,2,0.769625000000007,26
"409",4,108,"CS-US",3,7,3,10.3332916666667,29
"410",4,109,"CS",1,4,4,0.651125000000004,78
"411",4,110,"CS-US",1,5,1,3.11341666666667,23
"412",4,111,"CS",1,4,4,-0.529749999999995,67
"413",4,112,"CS",2,3,3,-2.18383333333333,27
"414",4,113,"CS",3,2,2,9.68891666666667,63
"415",4,114,"CS-US",1,5,1,5.25208333333334,39
