"","id","trial","condition","count","cond_lag","count_lag","graph_order","pooled_order","hr","rating"
"252",5,60,"CS-US",3,"CS-US",2,6,2,9.52027777777778,38
"253",5,61,"CS-US",4,"CS-US",3,7,3,-2.95144444444445,33
"254",5,64,"CS-US",1,"CS",2,3,3,1.25444444444444,65
"255",5,66,"CS-US",1,"CS",1,4,4,-15.7763888888889,43
"256",5,68,"CS-US",1,"CS",1,4,4,-5.70111111111111,56
"257",5,69,"CS-US",2,"CS-US",1,5,1,-0.0611666666666619,39
"258",5,71,"CS-US",1,"CS",1,4,4,-4.28638888888889,43
"259",5,78,"CS-US",1,"CS",1,4,4,9.87916666666667,46
"260",5,81,"CS-US",1,"CS",2,3,3,-3.84166666666667,57
"261",5,82,"CS-US",2,"CS-US",1,5,1,6.00635714285715,59
"262",5,83,"CS-US",3,"CS-US",2,6,2,-9.32694444444444,43
"263",5,85,"CS-US",1,"CS",1,4,4,4.56311111111111,58
"264",5,88,"CS-US",1,"CS",2,3,3,-4.26616666666667,55
"265",5,90,"CS-US",1,"CS",1,4,4,-2.93816666666667,44
"266",5,91,"CS-US",2,"CS-US",1,5,1,-9.25344444444444,39
"267",5,92,"CS-US",3,"CS-US",2,6,2,2.56416666666667,32
"268",5,93,"CS-US",4,"CS-US",3,7,3,-15.9962777777778,23
"269",5,95,"CS-US",1,"CS",1,4,4,-7.00866666666666,39
"270",5,102,"CS-US",1,"CS",1,4,4,3.91627777777778,45
"271",5,103,"CS-US",2,"CS-US",1,5,1,-5.04483333333333,43
"272",5,106,"CS-US",1,"CS",2,3,3,-0.466277777777777,64
"273",5,107,"CS-US",2,"CS-US",1,5,1,4.75677777777778,37
"274",5,108,"CS-US",3,"CS-US",2,6,2,4.53988888888888,28
"275",5,110,"CS-US",1,"CS",1,4,4,-2.76327777777778,59
"276",5,113,"CS-US",1,"CS",2,3,3,-6.58242857142858,80
"277",5,114,"CS-US",2,"CS-US",1,5,1,-0.6,45
"278",5,117,"CS-US",1,"CS",2,3,3,-1.93766666666667,58
"279",5,118,"CS-US",2,"CS-US",1,5,1,-4.74366666666667,56
"280",5,120,"CS-US",1,"CS",1,4,4,-18.0239444444444,57
"281",5,122,"CS-US",1,"CS",1,4,4,4.73938888888889,63
"282",5,123,"CS-US",2,"CS-US",1,5,1,-12.5902777777778,38
"283",5,127,"CS-US",1,"CS",3,2,2,4.53211111111111,61
"284",5,131,"CS-US",1,"CS",3,2,2,4.11461111111111,83
"285",5,133,"CS-US",1,"CS",1,4,4,-12.38,46
"286",5,134,"CS-US",2,"CS-US",1,5,1,0.414666666666671,34
"287",5,135,"CS-US",3,"CS-US",2,6,2,3.934,31
"288",5,136,"CS-US",4,"CS-US",3,7,3,-4.07855555555556,22
"289",5,139,"CS-US",1,"CS",2,3,3,4.20244444444444,59
"290",5,140,"CS-US",2,"CS-US",1,5,1,-1.74833333333333,37
"291",5,141,"CS-US",3,"CS-US",2,6,2,-2.20855555555556,42
"292",5,143,"CS-US",1,"CS",1,4,4,-4.41850000000001,59
"293",5,145,"CS-US",1,"CS",1,4,4,-0.315777777777777,56
"294",5,147,"CS-US",1,"CS",1,4,4,5.57394444444444,53
"295",5,151,"CS-US",1,"CS",3,2,2,-6.653375,70
"296",5,153,"CS-US",1,"CS",1,4,4,-1.60555555555556,46
"297",8,2,"CS-US",1,"CS",1,4,4,10.1927777777778,56
"298",8,3,"CS-US",2,"CS-US",1,5,1,-3.28766666666666,64
"299",8,4,"CS-US",3,"CS-US",2,6,2,-3.95038888888889,15
"300",8,7,"CS-US",1,"CS",2,3,3,4.44372222222223,31
"301",8,9,"CS-US",1,"CS",1,4,4,5.45983333333333,39
"302",8,10,"CS-US",2,"CS-US",1,5,1,-8.22977777777779,50
"303",8,13,"CS-US",1,"CS",2,3,3,-8.514,42
"304",8,16,"CS-US",1,"CS",2,3,3,12.0123333333333,60
"305",8,17,"CS-US",2,"CS-US",1,5,1,-6.28327777777777,45
"306",8,19,"CS-US",1,"CS",1,4,4,1.26055555555557,13
"307",8,22,"CS-US",1,"CS",2,3,3,0.376111111111113,21
"308",8,24,"CS-US",1,"CS",1,4,4,-3.93261111111111,63
"309",8,26,"CS-US",1,"CS",1,4,4,6.32766666666667,72
"310",8,27,"CS-US",2,"CS-US",1,5,1,-10.8731111111111,23
"311",8,28,"CS-US",3,"CS-US",2,6,2,2.12788888888889,72
"312",8,29,"CS-US",4,"CS-US",3,7,3,-6.67249999999999,28
"313",8,31,"CS-US",1,"CS",1,4,4,8.77138888888888,68
"314",8,32,"CS-US",2,"CS-US",1,5,1,8.19972222222222,10
"315",8,39,"CS-US",1,"CS",1,4,4,5.11233333333332,25
"316",8,41,"CS-US",3,"CS-US",2,6,2,-9.80827777777777,21
"317",8,43,"CS-US",1,"CS",1,4,4,-23.6464444444445,65
"318",8,45,"CS-US",1,"CS",1,4,4,4.26866666666666,69
